ring_radius_km,pole_correction_km,timing_correction_km,ring_longitude_deg,observed_ring_azimuth_deg,normalized_signal_power,normal_optical_depth,phase_shift_deg,normal_optical_depth_threshold,observed_event_time_s,ring_event_time_s,spacecraft_event_time_s,observed_ring_elevation_deg
71985.0,0.022297,-0.055367,85.181521,266.615184,1.024429,-0.008160641,109.487338,2.824766,70601.129923,65607.993511,65606.839567,-19.762075
71985.25,0.022297,-0.055367,85.181471,266.615133,1.027314,-0.009111355,109.542019,2.824766,70601.150078,65608.013667,65606.859723,-19.762075
71985.5,0.022297,-0.055367,85.18142,266.615083,1.004195,-0.00141553,109.709769,2.824766,70601.170234,65608.033824,65606.87988,-19.762075
71985.75,0.022298,-0.055367,85.18137,266.615033,0.9948771,0.001736587,108.445954,2.824767,70601.19039,65608.05398,65606.900036,-19.762075
71986.0,0.022298,-0.055367,85.181319,266.614982,1.007037,-0.002371078,108.960569,2.824767,70601.210546,65608.074137,65606.920192,-19.762075
71986.25,0.022299,-0.055367,85.181269,266.614932,1.055726,-0.01833545,108.92474,2.824767,70601.230702,65608.094293,65606.940348,-19.762075
71986.5,0.022299,-0.055367,85.181219,266.614881,1.014233,-0.004778509,109.079142,2.824767,70601.250858,65608.114449,65606.960505,-19.762075
71986.75,0.022299,-0.055367,85.181168,266.614831,1.04232,-0.01401453,109.187233,2.824767,70601.271014,65608.134606,65606.980661,-19.762075
71987.0,0.0223,-0.055367,85.181118,266.61478,1.033234,-0.01105435,109.025788,2.824767,70601.29117,65608.154762,65607.000817,-19.762075
71987.25,0.0223,-0.055367,85.181068,266.61473,1.041766,-0.01383471,109.639658,2.824767,70601.311326,65608.174919,65607.020974,-19.762075
71987.5,0.022301,-0.055367,85.181017,266.61468,1.069752,-0.02279788,108.977996,2.824767,70601.331482,65608.195075,65607.04113,-19.762075
71987.75,0.022301,-0.055367,85.180967,266.614629,1.034881,-0.01159268,108.928831,2.824767,70601.351638,65608.215232,65607.061286,-19.762075
71988.0,0.022302,-0.055367,85.180916,266.614579,1.033144,-0.01102477,109.480562,2.824767,70601.371793,65608.235388,65607.081442,-19.762075
71988.25,0.022302,-0.055367,85.180866,266.614528,1.006027,-0.002031807,108.662097,2.824767,70601.391949,65608.255544,65607.101599,-19.762075
71988.5,0.022302,-0.055367,85.180816,266.614478,1.030012,-0.009998238,109.351053,2.824767,70601.412105,65608.275701,65607.121755,-19.762075
71988.75,0.022303,-0.055367,85.180765,266.614427,1.041225,-0.01365913,110.17938,2.824767,70601.432261,65608.295857,65607.141911,-19.762075
71989.0,0.022303,-0.055367,85.180715,266.614377,1.018685,-0.006259363,110.119173,2.824767,70601.452417,65608.316014,65607.162067,-19.762075
71989.25,0.022304,-0.055367,85.180664,266.614327,1.033053,-0.01099498,110.395765,2.824767,70601.472573,65608.33617,65607.182224,-19.762075
71989.5,0.022304,-0.055367,85.180614,266.614276,1.006313,-0.00212772,109.678172,2.824767,70601.492729,65608.356326,65607.20238,-19.762075
71989.75,0.022304,-0.055367,85.180564,266.614226,1.018571,-0.00622158,108.90169,2.824767,70601.512885,65608.376483,65607.222536,-19.762075
71990.0,0.022305,-0.055367,85.180513,266.614175,1.049686,-0.01639569,109.077155,2.824767,70601.533041,65608.396639,65607.242692,-19.762075
71990.25,0.022305,-0.055367,85.180463,266.614125,1.02839,-0.009465386,109.378691,2.824767,70601.553196,65608.416795,65607.262849,-19.762075
71990.5,0.022306,-0.055367,85.180413,266.614074,1.017889,-0.005994913,110.940292,2.824767,70601.573352,65608.436952,65607.283005,-19.762075
71990.75,0.022306,-0.055367,85.180362,266.614024,1.032252,-0.01073281,109.99752,2.824768,70601.593508,65608.457108,65607.303161,-19.762075
71991.0,0.022307,-0.055367,85.180312,266.613974,1.011229,-0.003775629,110.213992,2.824768,70601.613664,65608.477265,65607.323317,-19.762075
71991.25,0.022307,-0.055367,85.180261,266.613923,0.9901264,0.003355019,109.989296,2.824768,70601.63382,65608.497421,65607.343474,-19.762075
71991.5,0.022307,-0.055368,85.180211,266.613873,1.017134,-0.005744271,110.049737,2.824768,70601.653976,65608.517577,65607.36363,-19.762075
71991.75,0.022308,-0.055368,85.180161,266.613822,1.05083,-0.0167638,110.234085,2.824768,70601.674132,65608.537734,65607.383786,-19.762075
71992.0,0.022308,-0.055368,85.18011,266.613772,1.011107,-0.003734622,110.018908,2.824768,70601.694288,65608.55789,65607.403942,-19.762075
71992.25,0.022309,-0.055368,85.18006,266.613722,1.029613,-0.009867177,109.020625,2.824768,70601.714443,65608.578046,65607.424098,-19.762075
71992.5,0.022309,-0.055368,85.180009,266.613671,1.027349,-0.009122874,110.646087,2.824768,70601.734599,65608.598203,65607.444255,-19.762075
71992.75,0.02231,-0.055368,85.179959,266.613621,1.044646,-0.01476828,109.559154,2.824768,70601.754755,65608.618359,65607.464411,-19.762075
71993.0,0.02231,-0.055368,85.179909,266.61357,1.019285,-0.006458539,110.188445,2.824768,70601.774911,65608.638515,65607.484567,-19.762074
71993.25,0.02231,-0.055368,85.179858,266.61352,1.012492,-0.004197616,111.377416,2.824768,70601.795067,65608.658672,65607.504723,-19.762074
71993.5,0.022311,-0.055368,85.179808,266.613469,1.017384,-0.005827169,110.535994,2.824768,70601.815223,65608.678828,65607.52488,-19.762074
71993.75,0.022311,-0.055368,85.179758,266.613419,1.021157,-0.007078998,110.34471,2.824768,70601.835378,65608.698985,65607.545036,-19.762074
71994.0,0.022312,-0.055368,85.179707,266.613369,1.024956,-0.008334583,110.67978,2.824768,70601.855534,65608.719141,65607.565192,-19.762074
71994.25,0.022312,-0.055368,85.179657,266.613318,1.046871,-0.01548776,109.688272,2.824768,70601.87569,65608.739297,65607.585348,-19.762074
71994.5,0.022312,-0.055368,85.179606,266.613268,1.03694,-0.01226487,110.115367,2.824768,70601.895846,65608.759454,65607.605504,-19.762074
71994.75,0.022313,-0.055368,85.179556,266.613217,1.01119,-0.003762348,110.034991,2.824768,70601.916002,65608.77961,65607.625661,-19.762074
71995.0,0.022313,-0.055368,85.179506,266.613167,1.043896,-0.01452536,110.356509,2.824768,70601.936158,65608.799766,65607.645817,-19.762074
71995.25,0.022314,-0.055368,85.179455,266.613117,0.9963115,0.001249457,109.811526,2.824768,70601.956313,65608.819923,65607.665973,-19.762074
71995.5,0.022314,-0.055368,85.179405,266.613066,1.030983,-0.01031688,109.745755,2.824769,70601.976469,65608.840079,65607.686129,-19.762074
71995.75,0.022315,-0.055368,85.179355,266.613016,1.030407,-0.01012798,110.499532,2.824769,70601.996625,65608.860235,65607.706285,-19.762074
71996.0,0.022315,-0.055368,85.179304,266.612965,1.020337,-0.00680734,109.980458,2.824769,70602.016781,65608.880392,65607.726441,-19.762074
71996.25,0.022315,-0.055368,85.179254,266.612915,1.048095,-0.01588278,108.939463,2.824769,70602.036937,65608.900548,65607.746598,-19.762074
71996.5,0.022316,-0.055368,85.179203,266.612864,1.013755,-0.004618926,109.853398,2.824769,70602.057093,65608.920704,65607.766754,-19.762074
71996.75,0.022316,-0.055368,85.179153,266.612814,1.006206,-0.00209183,109.908921,2.824769,70602.077248,65608.940861,65607.78691,-19.762074
71997.0,0.022317,-0.055368,85.179103,266.612764,1.045096,-0.01491382,110.219773,2.824769,70602.097404,65608.961017,65607.807066,-19.762074
71997.25,0.022317,-0.055368,85.179052,266.612713,1.051293,-0.01691288,109.256529,2.824769,70602.11756,65608.981173,65607.827222,-19.762074
71997.5,0.022317,-0.055368,85.179002,266.612663,1.042732,-0.01414806,109.685048,2.824769,70602.137716,65609.001329,65607.847379,-19.762074
71997.75,0.022318,-0.055368,85.178952,266.612612,1.048636,-0.0160573,109.97825,2.824769,70602.157872,65609.021486,65607.867535,-19.762074
71998.0,0.022318,-0.055368,85.178901,266.612562,1.057239,-0.01881966,109.945779,2.824769,70602.178027,65609.041642,65607.887691,-19.762074
71998.25,0.022319,-0.055368,85.178851,266.612512,1.030462,-0.01014578,109.291863,2.824769,70602.198183,65609.061798,65607.907847,-19.762074
